abook 0.6.1-7
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 43-1
alsa-card-profiles 1:0.3.59-5
alsa-lib 1.2.8-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.8-1
aom 3.5.0-1
arandr 0.1.10-7
archlinux-keyring 20221110-1
argon2 20190702-4
at-spi2-core 2.46.0-2
atool 0.39.0-8
attr 2.5.1-2
audiofile 0.3.6-7
audit 3.0.8-1
autoconf 2.71-1
autoconf-archive 1:2022.09.03-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
base 3-1
bash 5.1.016-1
bat 0.22.1-1
bc 1.07.1-4
binutils 2.39-3
bison 3.8.2-4
bluez 5.66-1
bluez-libs 5.66-1
bluez-plugins 5.66-1
boost-libs 1.80.0-3
brightnessctl 0.5.1-2
brotli 1.0.9-8
bzip2 1.0.8-4
ca-certificates 20220905-1
ca-certificates-mozilla 3.85-1
ca-certificates-utils 20220905-1
cairo 1.17.6-2
cantarell-fonts 1:0.303.1-1
chromaprint 1.5.1-5
cifs-utils 7.0-1
coreutils 9.1-3
cryptsetup 2.5.0-4
curl 7.86.0-3
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.4-1
dbus-glib 0.112-2
dconf 0.40.0-1
debugedit 5.0-4
desktop-file-utils 0.26-2
device-mapper 2.03.17-1
dhclient 4.4.3.P1-1
dhcpcd 9.4.1-1
diffutils 3.8-1
dnssec-anchors 20190629-3
dosfstools 4.2-2
double-conversion 3.2.1-1
duktape 2.7.0-4
dunst 1.9.0-1
e2fsprogs 1.46.5-4
efibootmgr 18-1
efivar 38-2
ell 0.53-1
emacs 28.2-1
ethtool 1:6.0-1
exfat-utils 1.3.0-2
expat 2.5.0-1
faad2 2.10.1-1
fakeroot 1.30.1-1
ffmpeg 2:5.1.2-1
ffmpegthumbnailer 2.2.2-4
fftw 3.3.10-3
file 5.43-1
filesystem 2022.10.18-1
findutils 4.9.0-1
firefox 106.0.5-1
flac 1.4.2-1
flex 2.6.4-3
fluidsynth 2.3.0-2
fmt 9.1.0-2
fontconfig 2:2.14.1-2
freetype2 2.12.1-1
fribidi 1.0.12-1
fuse-common 3.12.0-1
fuse2 2.9.9-4
fzf 0.34.0-1
gawk 5.2.0-3
gc 8.2.2-1
gcc 12.2.0-1
gcc-libs 12.2.0-1
gcr 3.41.1-3
gcr-4 4.0.0-1
gd 2.3.3-5
gdbm 1.23-1
gdk-pixbuf2 2.42.10-1
gettext 0.21.1-2
ghostscript 10.0.0-2
giflib 5.2.1-2
girara 0.3.7-1
git 2.38.1-2
glew 2.2.0-5
glib-networking 1:2.74.0-1
glib2 2.74.1-1
glibc 2.36-6
glslang 11.11.0-1
glu 9.0.2-3
gmime3 3.2.13-1
gmp 6.2.1-2
gnome-keyring 1:42.1-2
gnu-free-fonts 20120503-8
gnupg 2.2.40-1
gnutls 3.7.8-4
go 2:1.19.3-1
gobject-introspection-runtime 1.74.0-1
gpgme 1.18.0-1
gpm 1.20.7.r38.ge82d1a6-4
graphite 1:1.3.14-2
graphviz 7.0.1-2
grep 3.8-2
groff 1.22.4-7
gsasl 2.2.0-1
gsettings-desktop-schemas 43.0-1
gsfonts 20200910-2
gsm 1.0.22-1
gtk-theme-arc-gruvbox-git r12.e5ea0ff-2
gtk-update-icon-cache 1:4.8.2-1
gtk3 1:3.24.34+r156+g812b3930d0-1
gts 0.7.6.121130-2
guile 3.0.8-2
gumbo-parser 0.10.1-2
gzip 1.12-1
harfbuzz 5.3.1-3
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
htop-vim 3.2.1-1
http-parser 2.9.4-1
hwdata 0.364-1
hwloc 2.8.0-1
iana-etc 20221107-1
icu 72.1-1
ijs 0.35-4
imlib2 1.9.1-2
intel-ucode 20221108-1
iproute2 6.0.0-1
iptables 1:1.8.8-2
iputils 20211215-1
iso-codes 4.12.0-1
isync 1.4.4-2
iw 5.19-1
iwd 1.30-1
jack2 1.9.21-1
jansson 2.14-2
jbig2dec 0.19-1
json-c 0.16-1
json-glib 1.6.6-2
kbd 2.5.1-1
keyutils 1.6.3-1
kmod 30-3
krb5 1.20-3
kyotocabinet 1.2.79-1
l-smash 2.14.5-2
lame 3.100-4
lcms2 2.14-1
ldb 2:2.6.1-1
ldns 1.8.3-2
less 1:608-1
lf-git 27.r40.ga94015d-1
libao 1.2.2-5
libappindicator-gtk3 12.10.0.r298-1
libarchive 3.6.1-5
libass 0.16.0-1
libassuan 2.5.5-1
libasyncns 1:0.8+r3+g68cd5af-2
libavc1394 0.5.4-4
libavif 0.11.1-1
libbluray 1.3.3-1
libbpf 1.0.1-1
libbs2b 3.1.0-8
libbsd 0.11.7-1
libcamera 0.0.1-3
libcap 2.66-1
libcap-ng 0.8.3-1
libcdio 2.1.0-3
libcdio-paranoia 10.2+2.0.1-2
libcloudproviders 0.3.1+r8+g3a229ee-1
libcolord 1.4.6-1
libcups 1:2.4.2-3
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbusmenu-glib 16.04.0-5
libdbusmenu-gtk3 16.04.0-5
libde265 1.0.9-1
libdrm 2.4.114-1
libdvdnav 6.1.1-1
libdvdread 6.1.3-1
libedit 20210910_3.1-1
libelf 0.187-2
libepoxy 1.5.10-1
libev 4.33-1
libevdev 1.13.0-1
libevent 2.1.12-4
libexif 0.6.24-1
libfdk-aac 2.0.2-1
libffi 3.4.4-1
libfontenc 1.1.6-1
libfreeaptx 0.1.1-1
libgcrypt 1.10.1-1
libgit2 1:1.5.0-2
libglvnd 1.5.0-1
libgme 0.6.3-1
libgpg-error 1.46-1
libgudev 237-2
libheif 1.13.0-2
libical 3.0.16-2
libice 1.0.10-4
libid3tag 0.15.1b-11
libidn 1.41-1
libidn2 2.3.4-3
libiec61883 1.2.0-6
libimagequant 4.0.4-1
libindicator-gtk3 12.10.1-10
libinput 1.21.0-1
libinstpatch 1.1.6-1
libisl 0.25-1
libjpeg-turbo 2.1.4-2
libksba 1.6.2-1
libldac 2.0.2.3-1
libldap 2.6.3-2
libluv 1.44.2_1-2
libmad 0.15.1b-9
libmbim 1.28.0-1
libmd 1.0.4-1
libmediainfo 22.09-1
libmfx 22.4.4-1
libmikmod 3.3.11.1-6
libmm-glib 1.20.0-1
libmms 0.6.4-3
libmnl 1.0.5-1
libmodplug 0.8.9.0-3
libmpc 1.2.1-2
libmpcdec 1:0.1+r475-3
libmpdclient 2.20-2
libmtp 1.1.20-1
libndp 1.8-1
libnetfilter_conntrack 1.0.9-1
libnewt 0.52.21-8
libnfnetlink 1.0.2-1
libnfs 5.0.2-1
libnftnl 1.2.3-1
libnghttp2 1.50.0-1
libnl 3.7.0-1
libnm 1.40.2-1
libnma 1.10.4-3
libnma-common 1.10.4-3
libnotify 0.8.1-1
libnsl 2.0.0-2
libogg 1.3.5-1
libomxil-bellagio 0.9.3-3
libopenmpt 0.6.6-2
libotf 0.9.16-3
libp11-kit 0.24.1-1
libpaper 1.1.28-2
libpcap 1.10.1-2
libpciaccess 0.17-1
libpgm 5.3.128-2
libpipeline 1.5.6-1
libplacebo 4.208.0-1
libpng 1.6.38-1
libproxy 0.4.18-1
libpsl 0.21.1-3
libpulse 16.1-3
libqmi 1.32.0-1
libqrtr-glib 1.2.2-2
libraqm 0.9.0-1
libraw1394 2.1.2-3
librewolf-bin 106.0.4-1
librsvg 2:2.55.1-1
libsamplerate 0.2.2-1
libsasl 2.1.28-3
libseccomp 2.5.4-1
libsecret 0.20.5-2
libshout 1:2.4.6-2
libsidplayfp 2.4.0-1
libsm 1.2.3-3
libsndfile 1.1.0-3
libsodium 1.0.18-2
libsoup3 3.2.2-1
